id,pubmed_id,count,seq_num
222,31986264,12302,198136
477,32109013,7736,164311
495,32171076,7634,130852
367,32031570,6985,45434
284,31978945,6887,247013
207,32007143,5987,139570
424,32015507,5405,245753
117,32091533,4816,77139
174,32142651,4688,168195
5,31995857,4380,166401
195,32007145,3380,138550
488,32105632,3129,130090
449,32192578,2874,143914
281,31986261,2730,138768
326,32085846,2682,224255
360,32015508,2519,227621
456,32320003,2466,58717
169,32182409,2443,218375
19,32167524,2441,80270
32,32075877,2333,202111
127,23075143,2273,96707
298,14647384,2262,169711
75,32020029,2206,155275
27,32155444,2128,177027
147,32112714,2103,177091
407,12690091,2069,114495
133,12690092,2025,124823
188,32004427,1972,127625
189,32187464,1939,172305
453,31992387,1926,162067
239,32205204,1919,131795
373,32087114,1858,159193
107,32275288,1826,39738
443,32235945,1795,105072
100,18288193,1762,208856
275,15141377,1756,186441
341,32073213,1738,217631
34,32678530,1721,255453
89,32123347,1713,219087
97,31986257,1682,276238
95,23353941,1677,76578
130,32074444,1677,223417
458,18177778,1667,139890
148,32101510,1665,175073
213,22966490,1661,124326
23,32325026,1640,132615
63,32250385,1640,82897
25,32159775,1626,50255
340,32155789,1569,223239
376,17278083,1548,262191
135,32125452,1519,174801
149,32066541,1509,9687
450,32291094,1507,243098
156,12711465,1460,188012
462,32150748,1409,271926
473,30395287,1406,218833
43,28919117,1400,46399
227,32203977,1399,96268
223,25517348,1391,39091
152,32161940,1390,267800
259,31996437,1389,127140
96,16007097,1373,256037
396,12730500,1370,113106
423,23361625,1359,158387
126,32003551,1351,168148
24,32132184,1331,133351
282,32083643,1328,18597
113,32217835,1296,72755
336,32211816,1291,96287
405,25671798,1284,31760
29,32220112,1280,109399
414,32445440,1272,154160
308,30531947,1245,134250
283,32202646,1242,228379
251,21248839,1241,145548
496,26553804,1240,222532
297,32081636,1225,260120
60,32437596,1216,85136
271,32217556,1215,153458
254,25671797,1206,102645
120,32105637,1195,164428
279,32219356,1194,168261
167,32014114,1168,138953
237,32284615,1158,155447
160,12781535,1150,153271
226,12730501,1148,126175
74,32077115,1147,25443
172,32064853,1143,64635
464,32296168,1122,91569
138,27344959,1112,198060
416,15864272,1112,122943
415,32113704,1090,159446
12,32225176,1083,73655
79,32213337,1082,156487
18,32151335,1073,137860
119,25882376,1070,67547
315,32169119,1061,272616
316,32423584,1040,186737
286,12682352,1036,123586
221,23577628,1030,89316
400,32171062,1018,233412
386,32217650,1015,141179
472,16195424,1009,117208
248,26898852,1008,91733
131,16001071,998,230493
234,25882510,997,74031
216,32275812,995,169175
299,17150027,989,118947
333,12958366,989,126336
469,32150618,988,136527
274,32178769,958,161813
50,32346093,949,259440
349,32240634,947,156072
1,32074550,944,25272
466,32139904,937,188366
262,32227758,935,191194
201,32179701,933,241007
176,25720466,923,269856
72,32311448,908,144404
170,32416070,905,140609
369,20307191,905,34533
322,32353859,900,210256
480,32350134,896,184823
375,32173574,894,242154
191,23486063,891,263532
403,23688302,886,90739
205,32219428,882,103384
10,32112977,880,131347
146,32225175,871,148940
370,32221519,865,265859
404,8490246,858,7293
268,32304649,857,151062
7,24555472,856,96582
479,16964257,851,1717
412,18366252,842,268316
67,19590001,839,22949
342,31953166,836,184204
399,28466096,835,168955
125,27012512,834,205897
265,32094589,830,264891
225,18575461,829,263818
112,15034574,828,267002
335,11385510,827,151555
432,32268022,827,192383
145,31987001,825,267071
121,27546235,821,83026
292,19180106,819,210058
276,32221306,813,276625
85,32350462,811,66859
187,33301246,809,149871
439,32073353,808,220534
483,32043983,808,129305
200,32017661,804,232355
83,16166518,800,125519
61,32191259,799,101403
440,32142773,797,132451
413,32282022,794,55509
214,32473127,793,193498
321,32367170,792,198309
231,31967327,785,215808
380,32052846,785,226431
110,22432952,781,49457
318,32183930,781,184448
141,31950516,777,186976
255,11113252,774,117313
2,22563589,771,122423
236,32035997,771,184611
324,19626045,768,96894
233,16292310,766,183817
277,32227760,766,242210
382,32191675,766,187557
190,32077789,761,230959
238,32343504,760,204743
111,32125362,758,60619
278,32697968,758,240852
45,32075786,753,144121
243,23582727,752,171458
406,16642006,752,186064
438,32253535,743,248851
421,32298251,742,248224
451,32555424,742,93793
339,22166544,741,93729
383,32104915,739,275029
196,32202722,737,49555
437,32374815,736,159547
296,32164834,728,219760
356,32125455,727,205302
87,18089727,725,125734
51,18068815,724,146561
401,32194981,723,175735
28,26628643,721,53765
116,32160451,719,39002
293,16115318,718,219679
230,16169905,714,116190
353,32247631,713,128966
484,32640463,712,51546
57,32094336,711,178110
325,32294339,709,267263
142,32187458,708,197621
410,32444460,707,274966
40,32215365,706,171230
105,15613317,700,119514
338,32053470,700,244032
267,32291278,697,197608
425,27578435,695,114814
69,16462739,694,122504
55,32253318,692,271963
241,32327758,692,198258
273,32198291,692,227273
137,32283152,691,165932
109,21306237,688,98657
186,32214079,688,256175
358,32048163,681,141728
235,18049477,680,115247
392,32129805,679,84732
106,16118271,678,123556
14,14985565,677,113288
81,12927536,676,147997
4,32299776,673,133183
332,32497510,665,185576
115,29711117,658,93267
256,32275855,658,214364
229,32029004,657,257415
58,32144116,655,218028
500,32009228,655,154348
433,32302078,653,224365
348,32251791,651,222465
71,23891402,649,181732
397,32032543,646,264344
144,19150423,645,95054
173,32167538,645,66946
11,32353746,644,176884
366,32379955,644,133741
388,24172901,643,186335
398,2683611,641,8697
253,32329971,639,130577
62,32272481,638,89778
151,12746549,637,125868
471,32413319,637,135987
33,23782161,635,27690
108,32333836,633,138048
47,32219357,631,41064
80,20716914,630,221889
93,32170560,630,184395
245,32339221,627,205294
124,32065057,626,205701
352,12734147,626,114221
478,18322143,626,59588
311,32035028,624,185319
422,11114436,624,153221
52,19430490,623,216760
65,19234466,621,199595
182,32234467,621,202112
357,32049601,620,191411
266,19779555,616,284
460,32167747,615,243536
197,2647301,613,130300
344,32201335,613,228704
345,32271988,610,170769
295,32119825,608,206727
91,32410760,604,207205
461,22563403,604,248904
306,26868298,602,201843
331,27158749,602,103875
419,32179124,601,204800
434,32171059,600,221634
46,16043521,598,264480
77,31924756,598,178310
82,18596815,591,203752
129,32338827,591,67675
285,17519961,587,112592
92,22390970,584,80639
154,28356445,584,69970
288,30990260,582,67011
73,16847084,581,118739
379,25244186,581,76750
320,32229390,577,145980
261,32425950,575,270055
103,26172429,574,19807
303,23150796,571,972
426,18710327,571,32936
181,32257431,570,181796
212,32386565,570,156910
269,16877062,569,206546
371,32648899,561,45497
474,23746901,561,218987
42,15030519,560,131816
330,12892955,560,196116
427,32271993,559,275477
206,24846037,557,22451
272,32663912,556,219505
104,19198616,555,147400
171,18621912,555,181
313,32127666,555,60848
194,26867177,554,178637
470,12885899,554,120657
153,28919118,553,24877
228,32222812,553,190625
459,22278237,548,85040
430,32320677,547,173184
164,32161990,546,158191
162,26123479,544,35544
377,32292689,543,229215
8,14681510,542,115079
489,18423196,542,177490
494,32305533,542,151977
30,28659436,540,104391
263,12671061,540,115688
312,32294485,540,216396
441,32376634,540,245308
37,31971553,538,78133
163,32114094,536,203527
185,32442528,536,145831
372,32302935,536,157899
394,18264110,534,51320
86,32057769,533,195540
408,32444366,533,137157
17,14502271,528,6244
94,32199493,528,198032
70,12766207,527,113361
210,32219363,526,33019
499,32265220,524,162115
208,23390923,523,77469
319,16816138,523,124056
250,32292899,521,249222
417,32145190,518,8328
22,27748397,517,25335
68,12781536,517,134504
264,32240762,517,127284
378,9233431,517,147362
215,23678167,516,27946
38,32353347,515,127911
363,32325383,513,176323
435,32401715,513,168305
118,32218527,512,89245
354,19822627,512,48950
179,32381264,511,150786
390,32224151,511,174474
224,32327202,510,169319
159,32284613,508,237061
355,16968120,508,223125
445,20592747,508,6227
41,32166607,506,127621
485,32220655,505,130814
393,32303591,504,21302
26,32240123,503,250834
177,8608598,502,120854
76,32202343,501,162800
240,16192482,499,123879
305,31981224,499,241710
351,16323269,497,180789
448,32203188,497,275701
3,32267220,496,141386
334,18565953,496,46721
99,32253759,492,230398
150,32007643,491,198082
287,32104917,489,186043
294,32234805,489,163480
327,23170002,489,168466
90,24988558,488,97565
368,32047895,488,169343
323,32291463,486,261551
411,32044814,485,148711
447,12671062,485,124773
9,32198501,484,197162
78,32251717,484,160688
136,32287140,484,251282
385,15567015,484,124594
498,32661059,484,227643
44,32065055,483,197968
291,22328912,482,240880
36,32283003,481,23840
180,14585636,481,145766
420,14592603,481,169631
15,32398876,480,78981
252,32251768,480,215819
155,15241422,479,249657
31,32046819,477,161598
384,32105090,477,54504
436,32293639,477,104790
307,29511076,476,178988
202,15577937,475,256925
20,18049472,473,268994
199,19380115,473,134554
280,32376901,473,276435
468,19564631,473,110034
204,32200663,472,91722
309,25106063,472,74202
161,32361250,471,214389
139,32355299,470,57433
140,32335169,470,235975
444,17301785,470,271483
463,15325588,470,164909
6,15324539,469,252680
364,32142785,469,221565
217,32228035,468,158465
35,32269068,467,233561
132,18495771,466,63743
446,32275295,466,44698
289,16081529,465,118383
101,32199469,463,257396
49,32105638,462,8151
59,31133031,460,234148
219,32205856,460,181064
21,32273591,459,29139
359,12859895,459,116762
442,28382917,459,193931
482,26934220,459,199226
487,32362390,459,138527
493,16497584,459,196015
491,24130481,458,221522
465,21220454,457,487
467,32105304,457,104237
98,24283226,456,60506
242,32212516,456,40931
218,26049252,455,148262
143,10725411,454,119555
389,12748632,454,274576
428,32222466,454,239256
454,32183901,454,222519
343,32146694,453,194325
387,32555388,453,266075
395,19536255,450,12634
66,33378609,449,239847
53,32398875,448,89170
158,16914034,447,158430
246,32302265,447,210641
249,32147628,447,24194
56,32109011,446,203290
64,32178975,446,195080
128,32298802,446,159342
475,32264791,446,250718
193,32245784,445,182027
244,32032529,445,217300
16,32127517,444,151446
232,18953034,443,246
257,32228363,443,217360
211,32702298,442,245659
220,32134116,442,140693
374,18798692,442,236237
157,32213647,439,240503
165,32052841,438,218240
402,32371934,438,46880
178,32454513,437,87270
260,32085839,437,182238
114,15791205,436,205503
317,31978293,436,64271
362,19688045,435,92986
391,32402155,435,205734
431,12917450,435,116027
270,32226294,433,152852
457,19521399,433,185157
183,27562956,432,113864
347,32358202,432,239029
381,23817233,432,146362
192,14585926,430,126482
310,26615191,430,2082
302,26886976,429,2261
328,32211820,429,172556
301,32171193,427,109925
314,32271728,427,265566
122,32356627,426,209392
198,20660197,425,42357
346,32194980,425,157446
486,32215618,425,10591
166,16339739,424,119690
123,22371588,423,30915
209,16641297,423,115624
429,12781533,423,159503
84,32269088,422,158129
350,32220208,422,181463
365,21124449,422,230849
247,32356628,421,237883
290,29161116,421,72290
300,12743065,421,124352
361,15141376,420,224636
492,32492293,419,234990
481,32174129,418,68754
13,32282863,417,207086
39,32179137,417,217934
203,32283124,416,195088
476,8094770,416,9498
48,32392282,415,23194
258,19651891,415,276
102,32411652,413,139346
409,32052514,411,251880
452,17507975,411,198913
490,18568847,411,105909
497,15884975,411,258468
54,32512579,410,101238
184,25428506,410,78342
88,32272080,408,234748
168,32369666,407,219172
337,32505227,406,156526
418,32317267,406,204217
134,32203189,405,243829
175,12766206,404,124421
455,18762209,404,164679
329,20965417,401,158382
304,32374370,400,35668
